C,CV_mean_accuracy,accuracy,classifier_desc,dim,gamma,kernel,metriclearn_type,n_neighbors,p,sample_size,test_size,var
,,0.975,KNN,3,,,,1,0.5,2000,0.3,0.2
,0.971428571429,,KNN,3,,,,1,0.5,2000,0.3,0.2
,,0.973333333333,KNN,3,,,LMNN,1,0.5,2000,0.3,0.2
,0.975,,KNN,3,,,LMNN,1,0.5,2000,0.3,0.2
,,0.978333333333,KNN,3,,,,10,0.5,2000,0.3,0.2
,0.985,,KNN,3,,,,10,0.5,2000,0.3,0.2
,,0.973333333333,KNN,3,,,LMNN,1,0.5,2000,0.3,0.2
,0.975,,KNN,3,,,LMNN,1,0.5,2000,0.3,0.2
1,,0.608333333333,SVM,3,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,0.517857142857,,SVM,3,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.534285714286,,SVM,3,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.553571428571,,SVM,3,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.581428571429,,SVM,3,0.01,rbf,,,0.5,2000,0.3,0.2
1,,0.77,SVM,3,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.557142857143,,SVM,3,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.6,,SVM,3,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.639285714286,,SVM,3,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.728571428571,,SVM,3,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.971666666667,KNN,4,,,,1,0.5,2000,0.3,0.2
,0.956428571429,,KNN,4,,,,1,0.5,2000,0.3,0.2
,,0.966666666667,KNN,4,,,LMNN,1,0.5,2000,0.3,0.2
,0.955714285714,,KNN,4,,,LMNN,1,0.5,2000,0.3,0.2
,,0.97,KNN,4,,,,10,0.5,2000,0.3,0.2
,0.967142857143,,KNN,4,,,,10,0.5,2000,0.3,0.2
,,0.966666666667,KNN,4,,,LMNN,1,0.5,2000,0.3,0.2
,0.955714285714,,KNN,4,,,LMNN,1,0.5,2000,0.3,0.2
1,,0.511666666667,SVM,4,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,0.507142857143,,SVM,4,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.507142857143,,SVM,4,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.507142857143,,SVM,4,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.535714285714,,SVM,4,0.01,rbf,,,0.5,2000,0.3,0.2
1,,0.816666666667,SVM,4,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.507142857143,,SVM,4,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.572857142857,,SVM,4,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.577857142857,,SVM,4,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.804285714286,,SVM,4,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.938333333333,KNN,5,,,,1,0.5,2000,0.3,0.2
,0.949285714286,,KNN,5,,,,1,0.5,2000,0.3,0.2
,,0.94,KNN,5,,,LMNN,1,0.5,2000,0.3,0.2
,0.95,,KNN,5,,,LMNN,1,0.5,2000,0.3,0.2
,,0.956666666667,KNN,5,,,,10,0.5,2000,0.3,0.2
,0.950714285714,,KNN,5,,,,10,0.5,2000,0.3,0.2
,,0.94,KNN,5,,,LMNN,1,0.5,2000,0.3,0.2
,0.95,,KNN,5,,,LMNN,1,0.5,2000,0.3,0.2
1,,0.603333333333,SVM,5,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.501428571429,,SVM,5,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.615,,SVM,5,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.626428571429,,SVM,5,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.613571428571,,SVM,5,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,,0.605,SVM,5,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.617857142857,,SVM,5,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.615714285714,,SVM,5,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.608571428571,,SVM,5,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.592857142857,,SVM,5,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.928333333333,KNN,6,,,,1,0.5,2000,0.3,0.2
,0.909285714286,,KNN,6,,,,1,0.5,2000,0.3,0.2
,,0.928333333333,KNN,6,,,LMNN,1,0.5,2000,0.3,0.2
,0.91,,KNN,6,,,LMNN,1,0.5,2000,0.3,0.2
,,0.925,KNN,6,,,,10,0.5,2000,0.3,0.2
,0.841428571429,,KNN,6,,,,10,0.5,2000,0.3,0.2
,,0.928333333333,KNN,6,,,LMNN,1,0.5,2000,0.3,0.2
,0.91,,KNN,6,,,LMNN,1,0.5,2000,0.3,0.2
0.1,,0.48,SVM,6,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.526428571429,,SVM,6,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.526428571429,,SVM,6,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.526428571429,,SVM,6,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.526428571429,,SVM,6,0.01,rbf,,,0.5,2000,0.3,0.2
1,,0.665,SVM,6,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.526428571429,,SVM,6,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.526428571429,,SVM,6,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.526428571429,,SVM,6,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.655,,SVM,6,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.893333333333,KNN,7,,,,1,0.5,2000,0.3,0.2
,0.884285714286,,KNN,7,,,,1,0.5,2000,0.3,0.2
,,0.888333333333,KNN,7,,,LMNN,1,0.5,2000,0.3,0.2
,0.887142857143,,KNN,7,,,LMNN,1,0.5,2000,0.3,0.2
,,0.783333333333,KNN,7,,,,10,0.5,2000,0.3,0.2
,0.727142857143,,KNN,7,,,,10,0.5,2000,0.3,0.2
,,0.888333333333,KNN,7,,,LMNN,1,0.5,2000,0.3,0.2
,0.887142857143,,KNN,7,,,LMNN,1,0.5,2000,0.3,0.2
1,,0.55,SVM,7,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,0.515714285714,,SVM,7,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.515714285714,,SVM,7,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.573571428571,,SVM,7,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.574285714286,,SVM,7,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,,0.55,SVM,7,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.515714285714,,SVM,7,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.573571428571,,SVM,7,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.572142857143,,SVM,7,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.57,,SVM,7,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.85,KNN,8,,,,1,0.5,2000,0.3,0.2
,0.791428571429,,KNN,8,,,,1,0.5,2000,0.3,0.2
,,0.845,KNN,8,,,LMNN,1,0.5,2000,0.3,0.2
,0.794285714286,,KNN,8,,,LMNN,1,0.5,2000,0.3,0.2
,,0.628333333333,KNN,8,,,,10,0.5,2000,0.3,0.2
,0.591428571429,,KNN,8,,,,10,0.5,2000,0.3,0.2
,,0.621666666667,KNN,8,,,LMNN,10,0.5,2000,0.3,0.2
,0.595714285714,,KNN,8,,,LMNN,10,0.5,2000,0.3,0.2
0.1,,0.46,SVM,8,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.51,,SVM,8,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.51,,SVM,8,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.51,,SVM,8,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.502142857143,,SVM,8,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,,0.46,SVM,8,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.51,,SVM,8,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.51,,SVM,8,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.502142857143,,SVM,8,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.509285714286,,SVM,8,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.738333333333,KNN,9,,,,1,0.5,2000,0.3,0.2
,0.728571428571,,KNN,9,,,,1,0.5,2000,0.3,0.2
,,0.735,KNN,9,,,LMNN,1,0.5,2000,0.3,0.2
,0.731428571429,,KNN,9,,,LMNN,1,0.5,2000,0.3,0.2
,,0.598333333333,KNN,9,,,,10,0.5,2000,0.3,0.2
,0.563571428571,,KNN,9,,,,10,0.5,2000,0.3,0.2
,,0.591666666667,KNN,9,,,LMNN,10,0.5,2000,0.3,0.2
,0.557142857143,,KNN,9,,,LMNN,10,0.5,2000,0.3,0.2
1,,0.576666666667,SVM,9,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.503571428571,,SVM,9,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.568571428571,,SVM,9,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.575714285714,,SVM,9,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.568571428571,,SVM,9,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,,0.578333333333,SVM,9,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.530714285714,,SVM,9,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.577857142857,,SVM,9,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.571428571429,,SVM,9,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.568571428571,,SVM,9,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
